"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 13:25:31 GMT 2022","Sat Jul 02 13:25:31 GMT 2022","259","Send request","","","","","Создать новую книгу post /booking 200",""
"passed","Sat Jul 02 13:25:29 GMT 2022","Sat Jul 02 13:25:29 GMT 2022","290","Отправляем сетевые запросы","","","","","Получить заголовки ендпоинта /todos, 200",""
"passed","Sat Jul 02 13:25:30 GMT 2022","Sat Jul 02 13:25:30 GMT 2022","244","Отправляем сетевые запросы","","","","","Отфильтровать список задач по статусу, 200",""
"failed","Sat Jul 02 13:25:28 GMT 2022","Sat Jul 02 13:25:29 GMT 2022","614","Отправляем сетевые запросы","","","","","Получить задачу по id, 200",""
"failed","Sat Jul 02 13:25:30 GMT 2022","Sat Jul 02 13:25:31 GMT 2022","545","Отправляем сетевые запросы","","","","","Обновить существующую задачу, 200",""
"passed","Sat Jul 02 13:25:28 GMT 2022","Sat Jul 02 13:25:28 GMT 2022","357","Отправляем сетевые запросы","","","","","Получить список задач, 200",""
"passed","Sat Jul 02 13:25:27 GMT 2022","Sat Jul 02 13:25:28 GMT 2022","614","Отправляем сетевые запросы","","","","","Получить список заданий, 200",""
"passed","Sat Jul 02 13:25:28 GMT 2022","Sat Jul 02 13:25:28 GMT 2022","303","Отправляем сетевые запросы","","","","","Вызвать несуществующий эндпоинт, 404",""
"passed","Sat Jul 02 13:25:31 GMT 2022","Sat Jul 02 13:25:31 GMT 2022","1","Это демо сьют","","","","","Калькулятор",""
"failed","Sat Jul 02 13:25:29 GMT 2022","Sat Jul 02 13:25:30 GMT 2022","293","Отправляем сетевые запросы","","","","","Создать задачу, 201",""
"passed","Sat Jul 02 13:25:31 GMT 2022","Sat Jul 02 13:25:31 GMT 2022","329","Send request","","","","","Получить список доступных книг get /booking 200",""
"passed","Sat Jul 02 13:25:29 GMT 2022","Sat Jul 02 13:25:29 GMT 2022","346","Отправляем сетевые запросы","","","","","Попытатьcя получить задачу по несуществующему id, 404",""
"passed","Sat Jul 02 13:25:30 GMT 2022","Sat Jul 02 13:25:30 GMT 2022","290","Отправляем сетевые запросы","","","","","Попытаться создать задачу с невалидным статусом, 400",""
